COD_MUNICIPIO,COD_UF,UF,pop_total,n_tracts
3550308,35,SP,11426760,26889
3304557,33,RJ,6178487,13474
5300108,53,DF,2796243,5342
2304400,23,CE,2425294,4306
2927408,29,BA,2410325,4504
3106200,31,MG,2311624,5137
1302603,13,AM,2058608,3229
4106902,41,PR,1771227,3178
2611606,26,PE,1480788,2814
5208707,52,GO,1435177,2304
4314902,43,RS,1328061,2713
1501402,15,PA,1301590,2040
3518800,35,SP,1285034,2460
3509502,35,SP,1136543,2523
2111300,21,MA,1032492,1716
2704302,27,AL,953481,1571
3304904,33,RJ,895807,2375
5002704,50,MS,891227,1657
2211001,22,PI,864484,1512
2507507,25,PB,829026,1747
3548708,35,SP,809451,1732
3301702,33,RJ,807276,1811
3303500,33,RJ,784577,1612
2408102,24,RN,750084,1089
3547809,35,SP,747395,1657
3534401,35,SP,727094,1492
3552205,35,SP,720691,1132
3170206,31,MG,711047,1924
3543402,35,SP,695943,1386
3549904,35,SP,695593,1522
5103403,51,MT,647118,1136
2607901,26,PE,643044,1239
3118601,31,MG,619275,1305
2910800,29,BA,615697,1096
4209102,42,SC,613393,1054
2800308,28,SE,601799,1124
4113700,41,PR,553274,911
3136702,31,MG,538093,1166
4205407,42,SC,533840,964
5201405,52,GO,524286,797
3205002,32,ES,519884,999
3300456,33,RJ,482791,983
3301009,33,RJ,481137,1344
3303302,33,RJ,480095,1195
3549805,35,SP,477650,1089
1500800,15,PA,477476,750
4305108,43,RS,462565,909
3205200,32,ES,459356,928
1100205,11,RO,456992,763
3530607,35,SP,450764,951
3525904,35,SP,441392,1158
3305109,33,RJ,440662,807
1600303,16,AP,439927,765
3538709,35,SP,421643,873
3548500,35,SP,417798,1010
2504009,25,PB,417326,790
3529401,35,SP,417321,834
3143302,31,MG,412066,864
3106705,31,MG,411162,969
4115200,41,PR,407494,773
1400100,14,RR,404381,528
5201108,52,GO,397225,591
3513801,35,SP,392223,771
3510609,35,SP,386339,861
2611101,26,PE,385363,686
2604106,26,PE,376440,799
3506003,35,SP,375457,667
2933307,29,BA,369934,661
3523107,35,SP,368831,621
1200401,12,AC,361827,667
4202404,42,SC,358760,639
4119905,41,PR,356747,683
2303709,23,CE,355140,731
3201308,32,ES,352074,722
3516200,35,SP,351226,713
2609600,26,PE,349541,640
3541000,35,SP,348401,974
4304606,43,RS,347307,648
4104808,41,PR,346071,580
2610707,26,PE,341709,612
3170107,31,MG,336171,865
1506807,15,PA,329998,655
3551009,35,SP,328378,641
4125506,41,PR,328020,517
4314407,43,RS,324518,688
3154606,31,MG,322844,614
3205309,32,ES,322268,642
3505708,35,SP,316148,475
3554102,35,SP,309894,663
3552502,35,SP,306765,651
1721000,17,TO,301708,683
2905701,29,BA,299987,695
5108402,51,MT,299195,495
3526902,35,SP,291110,728
3518701,35,SP,287025,716
2307304,23,CE,284640,479
4108304,41,PR,284359,511
3552403,35,SP,279287,435
3303906,33,RJ,278228,701
3513009,35,SP,273705,740
3552809,35,SP,273128,596
2105302,21,MA,272308,458
4316907,43,RS,270084,452
4216602,42,SC,269840,417
1505536,15,PA,267556,451
1504208,15,PA,265546,513
4309209,43,RS,264827,467
2408003,24,RN,263477,434
4208203,42,SC,262689,403
3306305,33,RJ,261100,709
3520509,35,SP,255404,387
3127701,31,MG,255355,550
3548906,35,SP,254286,465
2403251,24,RN,252341,341
4204202,42,SC,251715,494
3515004,35,SP,250288,609
3302403,33,RJ,245822,700
5107602,51,MT,244306,573
2111201,21,MA,244274,590
3503208,35,SP,241528,538
5003702,50,MS,241236,490
3524402,35,SP,239820,532
3529005,35,SP,237024,556
3501608,35,SP,236862,516
2918407,29,BA,236790,381
2307650,23,CE,234259,391
2700300,27,AL,234103,426
3519071,35,SP,232314,377
3522505,35,SP,232118,313
4105805,41,PR,231926,379
3122306,31,MG,230032,542
3131307,31,MG,227354,456
4313409,43,RS,227126,593
3302502,33,RJ,226942,583
3167202,31,MG,226703,571
3541406,35,SP,225322,411
5200258,52,GO,225317,294
5218805,52,GO,224767,371
3301900,33,RJ,223947,598
4323002,43,RS,223869,416
3300704,33,RJ,221742,815
4211900,42,SC,221560,359
3157807,31,MG,218833,398
4318705,43,RS,217022,433
4204608,42,SC,212114,617
5212501,52,GO,208039,348
4314100,43,RS,205533,314
2602902,26,PE,203147,461
2919207,29,BA,202713,353
2312908,23,CE,201418,424
3543907,35,SP,200692,403
3502804,35,SP,199572,511
5221858,52,GO,198578,292
3302700,33,RJ,196966,483
5107909,51,MT,195501,341
2804805,28,SE,191951,423
1502400,15,PA,191772,359
4315602,43,RS,191031,456
3303401,33,RJ,189451,653
4300604,43,RS,187165,336
2914802,29,BA,185497,381
3201209,32,ES,184506,408
3545803,35,SP,183025,396
4208906,42,SC,181921,360
4109401,41,PR,180829,297
3515707,35,SP,178941,398
2913606,29,BA,178389,414
3507605,35,SP,176150,438
2112209,21,MA,173746,332
1702109,17,TO,170686,329
3129806,31,MG,170375,339
3300407,33,RJ,169585,538
2925303,29,BA,168161,304
3523909,35,SP,167768,307
3302858,33,RJ,167001,347
3300100,33,RJ,166971,498
3548807,35,SP,165286,427
3203205,32,ES,165022,323
3516309,35,SP,164985,385
3538006,35,SP,164972,362
3305802,33,RJ,164772,504
4209300,42,SC,164204,280
3151800,31,MG,163344,384
2207702,22,PI,161562,264
2903201,29,BA,159342,294
3148004,31,MG,158705,426
2918001,29,BA,158273,334
3522208,35,SP,158209,421
3504107,35,SP,157980,424
1500107,15,PA,157745,275
2103000,21,MA,156682,315
3304524,33,RJ,156261,446
3522307,35,SP,155819,269
5220454,52,GO,155397,202
3547304,35,SP,153971,199
3530706,35,SP,152787,293
4101804,41,PR,151467,244
3152501,31,MG,151176,330
2900702,29,BA,150853,253
4127700,41,PR,150302,234
2513703,25,PB,149477,320
4107652,41,PR,148701,193
2603454,26,PE,147604,272
3303203,33,RJ,146653,307
4118204,41,PR,145557,283
2107506,21,MA,145480,322
3507506,35,SP,144733,362
2931350,29,BA,144712,256
2606002,26,PE,142163,248
3516408,35,SP,141811,347
5221403,52,GO,141589,215
4202909,42,SC,140849,205
3304144,33,RJ,140435,297
4202008,42,SC,138761,287
3168606,31,MG,136364,266
4104204,41,PR,136153,257
4303103,43,RS,136148,226
3170701,31,MG,136095,283
3545209,35,SP,134153,212
3510500,35,SP,133995,398
1502103,15,PA,133762,247
2616407,26,PE,133755,245
3525300,35,SP,132993,290
4316808,43,RS,132951,203
4320008,43,RS,131986,272
3118304,31,MG,131249,234
5008305,50,MS,131033,298
2306405,23,CE,131005,275
2304202,23,CE,130863,298
3503307,35,SP,130505,357
4101408,41,PR,129628,236
3300209,33,RJ,129382,507
3156700,31,MG,129259,307
3171204,31,MG,129116,323
3304201,33,RJ,129017,361
3557006,35,SP,127215,210
3551702,35,SP,126630,280
1501303,15,PA,126516,257
4119152,41,PR,126430,196
3556206,35,SP,126204,228
1500602,15,PA,125877,360
3105608,31,MG,125007,285
3202405,32,ES,124480,314
1100122,11,RO,123674,239
3554003,35,SP,123670,301
4302105,43,RS,123014,285
1501709,15,PA,122849,227
1503606,15,PA,122815,238
3204906,32,ES,122612,288
3505500,35,SP,122175,217
3523404,35,SP,121395,252
4100400,41,PR,119707,193
3201506,32,ES,119022,322
4101507,41,PR,119003,195
3506508,35,SP,118504,277
4126256,41,PR,118351,158
3525003,35,SP,117929,163
3518404,35,SP,117871,245
4301602,43,RS,117380,198
3103504,31,MG,117272,271
4128104,41,PR,116911,227
4322400,43,RS,116682,179
3302007,33,RJ,116635,270
2412005,24,RN,115745,203
3556503,35,SP,115650,242
3511102,35,SP,115418,293
3543303,35,SP,115398,215
2606804,26,PE,115068,216
5208004,52,GO,115060,195
2930709,29,BA,114205,227
5205109,52,GO,113958,187
2103307,21,MA,113910,241
2910727,29,BA,113208,214
3131703,31,MG,113134,215
2924009,29,BA,112461,213
3513504,35,SP,112266,241
3522109,35,SP,112203,304
4119509,41,PR,112121,217
3147907,31,MG,111705,324
3144805,31,MG,111587,232
2613701,26,PE,111146,204
3104007,31,MG,111145,213
1504422,15,PA,110583,237
5107925,51,MT,110538,175
3536505,35,SP,110392,193
4218707,42,SC,109431,231
2919553,29,BA,107792,160
5211503,52,GO,107553,182
1600600,16,AP,107360,203
4103701,41,PR,106942,174
1501808,15,PA,106762,120
2100055,21,MA,106203,270
5107958,51,MT,105784,240
3145208,31,MG,105260,208
5211909,52,GO,105127,183
4307005,43,RS,105040,173
2307700,23,CE,104946,252
1505502,15,PA,104859,225
3138203,31,MG,104415,218
5217609,52,GO,104339,169
3119401,31,MG,104247,233
3305208,33,RJ,103861,362
3539806,35,SP,103612,216
2101202,21,MA,103586,196
5215231,52,GO,103578,162
3534708,35,SP,103545,298
3143906,31,MG,103353,215
2802908,28,SE,103321,234
1301902,13,AM,103249,257
3169901,31,MG,103121,235
4203204,42,SC,102971,128
2928703,29,BA,102944,205
2510808,25,PB,102589,229
3134202,31,MG,102038,292
1302504,13,AM,101702,212
2101400,21,MA,101505,173
2803500,28,SE,101468,257
3504008,35,SP,101233,210
3302205,33,RJ,100256,263
